phenoname,ancestry,trait_type,category,n_cases,n_controls,description,phecode_category,description_more
1005,amr,binary,phecode,1849,30507,Other symptoms,Null,NA
1005,eas,binary,phecode,206,3734,Other symptoms,Null,NA
1005,eur,binary,phecode,8259,91308,Other symptoms,Null,NA
1008,afr,binary,phecode,213,40299,Crushing or internal injury to organs,Null,NA
1008,eur,binary,phecode,427,99140,Crushing or internal injury to organs,Null,NA
1009,afr,binary,phecode,1409,39103,"Injury, NOS",Null,NA
1009,amr,binary,phecode,856,31500,"Injury, NOS",Null,NA
1009,eur,binary,phecode,4546,95021,"Injury, NOS",Null,NA
1010,afr,binary,phecode,13191,27321,Other tests,Null,NA
1010,amr,binary,phecode,10607,21749,Other tests,Null,NA
1010,eas,binary,phecode,1213,2727,Other tests,Null,NA
1010,eur,binary,phecode,41039,58528,Other tests,Null,NA
1010,mid,binary,phecode,214,375,Other tests,Null,NA
1010,sas,binary,phecode,811,1529,Other tests,Null,NA
1011,afr,binary,phecode,628,39884,Complications of surgical and medical procedures,Null,NA
1011,amr,binary,phecode,609,31747,Complications of surgical and medical procedures,Null,NA
1011,eur,binary,phecode,2412,97155,Complications of surgical and medical procedures,Null,NA
1012,eur,binary,phecode,288,99279,Late effect,Null,NA
1013,afr,binary,phecode,1214,39298,Asphyxia and hypoxemia,Null,NA
1013,amr,binary,phecode,805,31551,Asphyxia and hypoxemia,Null,NA
1013,eur,binary,phecode,3424,96143,Asphyxia and hypoxemia,Null,NA
1015,afr,binary,phecode,2008,38504,Effects of other external causes,Null,NA
1015,amr,binary,phecode,1220,31136,Effects of other external causes,Null,NA
1015,eur,binary,phecode,5453,94114,Effects of other external causes,Null,NA
1019,afr,binary,phecode,766,39746,Other ill-defined and unknown causes of morbidity and mortality,Null,NA
1019,amr,binary,phecode,517,31839,Other ill-defined and unknown causes of morbidity and mortality,Null,NA
1019,eur,binary,phecode,2741,96826,Other ill-defined and unknown causes of morbidity and mortality,Null,NA
110,afr,binary,phecode,1724,35923,Dermatophytosis / Dermatomycosis,Infectious,NA
110,amr,binary,phecode,1239,29126,Dermatophytosis / Dermatomycosis,Infectious,NA
110,eur,binary,phecode,4397,88075,Dermatophytosis / Dermatomycosis,Infectious,NA
110.1,afr,binary,phecode,1591,36243,Dermatophytosis,Infectious,NA
110.1,amr,binary,phecode,1127,29350,Dermatophytosis,Infectious,NA
110.1,eur,binary,phecode,3978,88987,Dermatophytosis,Infectious,NA
110.11,afr,binary,phecode,696,37795,Dermatophytosis of nail,Infectious,NA
110.11,amr,binary,phecode,428,30568,Dermatophytosis of nail,Infectious,NA
110.11,eur,binary,phecode,1739,92874,Dermatophytosis of nail,Infectious,NA
110.12,afr,binary,phecode,240,39117,Althete's foot,Infectious,NA
110.12,eur,binary,phecode,630,96580,Althete's foot,Infectious,NA
110.13,eur,binary,phecode,502,97075,Dermatophytosis of the body,Infectious,NA
110.2,eur,binary,phecode,258,98208,Dermatomycoses,Infectious,NA
1100,eur,binary,phecode,937,98630,Family history,Null,NA
112,afr,binary,phecode,1171,36785,Candidiasis,Infectious,NA
112,amr,binary,phecode,782,29703,Candidiasis,Infectious,NA
112,eur,binary,phecode,2329,91987,Candidiasis,Infectious,NA
112.3,eur,binary,phecode,244,97992,Candidiasis of skin and nails,Infectious,NA
117,eur,binary,phecode,272,98560,Mycoses,Infectious,NA
130,eur,binary,phecode,251,98193,Spirochetal infection,Infectious,NA
130.1,eur,binary,phecode,234,98322,Lyme disease,Infectious,NA
131,afr,binary,phecode,363,39149,Protozoan infection,Infectious,NA
136,afr,binary,phecode,345,38450,Other infectious and parasitic diseases,Infectious,NA
136,eur,binary,phecode,988,94541,Other infectious and parasitic diseases,Infectious,NA
145,eur,binary,phecode,218,99170,Cancer of mouth,Neoplasms,NA
149,eur,binary,phecode,286,99079,"Cancer of larynx, pharynx, nasal cavities",Neoplasms,NA
153,afr,binary,phecode,265,39948,Colorectal cancer,Neoplasms,NA
153,amr,binary,phecode,210,31944,Colorectal cancer,Neoplasms,NA
153,eur,binary,phecode,962,97703,Colorectal cancer,Neoplasms,NA
153.2,eur,binary,phecode,683,98126,Colon cancer,Neoplasms,NA
153.3,eur,binary,phecode,414,98808,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",Neoplasms,NA
158,eur,binary,phecode,288,98354,Neoplasm of unspecified nature of digestive system,Neoplasms,NA
165,afr,binary,phecode,200,40187,Cancer within the respiratory system,Neoplasms,NA
165,eur,binary,phecode,880,98241,Cancer within the respiratory system,Neoplasms,NA
165.1,eur,binary,phecode,861,98276,Cancer of bronchus; lung,Neoplasms,NA
170,eur,binary,phecode,270,98918,Cancer of bone and connective tissue,Neoplasms,NA
172,amr,binary,phecode,221,31954,Skin cancer,Neoplasms,NA
172,eur,binary,phecode,7295,88497,Skin cancer,Neoplasms,NA
172.1,eur,binary,phecode,1575,97026,"Melanomas of skin, dx or hx",Neoplasms,NA
172.11,eur,binary,phecode,1143,97637,Melanomas of skin,Neoplasms,NA
172.2,eur,binary,phecode,5972,89864,Other non-epithelial cancer of skin,Neoplasms,NA
172.21,eur,binary,phecode,2609,94661,Basal cell carcinoma,Neoplasms,NA
172.22,eur,binary,phecode,1185,97029,Squamous cell carcinoma,Neoplasms,NA
172.3,eur,binary,phecode,593,97793,Carcinoma in situ of skin,Neoplasms,NA
173,eur,binary,phecode,3308,89244,Neoplasm of uncertain behavior of skin,Neoplasms,NA
174,afr,binary,phecode,706,39544,Breast cancer,Neoplasms,NA
174,amr,binary,phecode,538,31519,Breast cancer,Neoplasms,NA
174,eur,binary,phecode,3647,94672,Breast cancer,Neoplasms,NA
174.1,afr,binary,phecode,694,22910,Breast cancer [female],Neoplasms,NA
174.1,amr,binary,phecode,526,21013,Breast cancer [female],Neoplasms,NA
174.1,eur,binary,phecode,3599,56070,Breast cancer [female],Neoplasms,NA
174.11,afr,binary,phecode,651,22936,Malignant neoplasm of female breast,Neoplasms,NA
174.11,amr,binary,phecode,498,21041,Malignant neoplasm of female breast,Neoplasms,NA
174.11,eur,binary,phecode,3414,56210,Malignant neoplasm of female breast,Neoplasms,NA
1740555,eur,binary,pfhh_survey,297,69565,Other heart or blood condition (PFHH survey),NA,NA
1740556,eur,binary,pfhh_survey,355,69507,Eating disorder (PFHH survey),NA,NA
1740558,eur,binary,pfhh_survey,256,69606,Other brain or nervous system condition(s) (PFHH survey),NA,NA
1740559,eur,binary,pfhh_survey,814,69048,Insomnia (PFHH survey),NA,NA
1740562,eur,binary,pfhh_survey,825,69037,Post-traumatic stress disorder (ptsd) (PFHH survey),NA,NA
1740566,eur,binary,pfhh_survey,257,69605,Memory loss or impairment (PFHH survey),NA,NA
1740572,eur,binary,pfhh_survey,1322,68540,Tinnitus (PFHH survey),NA,NA
1740573,eur,binary,pfhh_survey,556,69306,Vitamin b deficiency (PFHH survey),NA,NA
1740576,eur,binary,pfhh_survey,201,69661,Spinal cord injury or impairment (PFHH survey),NA,NA
1740578,afr,binary,pfhh_survey,220,10081,Hemorrhoids (PFHH survey),NA,NA
1740578,amr,binary,pfhh_survey,296,11358,Hemorrhoids (PFHH survey),NA,NA
1740578,eur,binary,pfhh_survey,1983,67879,Hemorrhoids (PFHH survey),NA,NA
1740583,afr,binary,pfhh_survey,217,10084,Farsightedness (PFHH survey),NA,NA
1740583,eur,binary,pfhh_survey,1765,68097,Farsightedness (PFHH survey),NA,NA
1740586,eur,binary,pfhh_survey,454,69408,Chronic fatigue (PFHH survey),NA,NA
1740601,afr,binary,pfhh_survey,313,9988,Vitamin d deficiency (PFHH survey),NA,NA
1740601,amr,binary,pfhh_survey,358,11296,Vitamin d deficiency (PFHH survey),NA,NA
1740601,eur,binary,pfhh_survey,1637,68225,Vitamin d deficiency (PFHH survey),NA,NA
1740608,amr,binary,pfhh_survey,245,11409,Acne (PFHH survey),NA,NA
1740608,eur,binary,pfhh_survey,1985,67877,Acne (PFHH survey),NA,NA
1740613,eur,binary,pfhh_survey,754,69108,Prediabetes (PFHH survey),NA,NA
1740617,eur,binary,pfhh_survey,1093,68769,Carpal tunnel syndrome (PFHH survey),NA,NA
1740623,eur,binary,pfhh_survey,227,69635,Other lung condition(s) (PFHH survey),NA,NA
1740629,eur,binary,pfhh_survey,569,69293,Enlarged prostate (PFHH survey),NA,NA
1740630,eur,binary,pfhh_survey,385,69477,Other digestive condition (PFHH survey),NA,NA
1740636,eur,binary,pfhh_survey,450,69412,Other hearing or eye condition(s) (PFHH survey),NA,NA
1740637,eur,binary,pfhh_survey,677,69185,Other arthritis (PFHH survey),NA,NA
1740644,afr,binary,pfhh_survey,356,9945,Nearsightedness (PFHH survey),NA,NA
1740644,amr,binary,pfhh_survey,397,11257,Nearsightedness (PFHH survey),NA,NA
1740644,eur,binary,pfhh_survey,3669,66193,Nearsightedness (PFHH survey),NA,NA
1740645,afr,binary,pfhh_survey,223,10078,Dry eyes (PFHH survey),NA,NA
1740645,amr,binary,pfhh_survey,240,11414,Dry eyes (PFHH survey),NA,NA
1740645,eur,binary,pfhh_survey,1493,68369,Dry eyes (PFHH survey),NA,NA
1740660,eur,binary,pfhh_survey,742,69120,Attention-deficit/hyperactivity disorder (adhd) (PFHH survey),NA,NA
1740664,eur,binary,pfhh_survey,772,69090,"Other bone, joint, or muscle condition(s) (PFHH survey)",NA,NA
1740668,afr,binary,pfhh_survey,356,9945,Obesity (PFHH survey),NA,NA
1740668,amr,binary,pfhh_survey,343,11311,Obesity (PFHH survey),NA,NA
1740668,eur,binary,pfhh_survey,1909,67953,Obesity (PFHH survey),NA,NA
1740671,eur,binary,pfhh_survey,844,69018,Concussion or loss of consciousness (PFHH survey),NA,NA
1740675,afr,binary,pfhh_survey,222,10079,Astigmatism (PFHH survey),NA,NA
1740675,amr,binary,pfhh_survey,355,11299,Astigmatism (PFHH survey),NA,NA
1740675,eur,binary,pfhh_survey,2850,67012,Astigmatism (PFHH survey),NA,NA
1740679,eur,binary,pfhh_survey,882,68980,Fractured/broken bones in the last five years (PFHH survey),NA,NA
1740681,eur,binary,pfhh_survey,1020,68842,Hernia (PFHH survey),NA,NA
175,afr,binary,phecode,225,23405,Acquired absence of breast,Neoplasms,NA
175,eur,binary,phecode,939,58601,Acquired absence of breast,Neoplasms,NA
180,afr,binary,phecode,445,22759,Cervical cancer and dysplasia,Neoplasms,NA
180,amr,binary,phecode,370,20939,Cervical cancer and dysplasia,Neoplasms,NA
180,eur,binary,phecode,1038,58009,Cervical cancer and dysplasia,Neoplasms,NA
180.1,eur,binary,phecode,233,60267,Cervical cancer,Neoplasms,NA
180.3,afr,binary,phecode,375,22881,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],Neoplasms,NA
180.3,amr,binary,phecode,304,21073,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],Neoplasms,NA
180.3,eur,binary,phecode,812,58418,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia],Neoplasms,NA
182,eur,binary,phecode,472,60020,Malignant neoplasm of uterus,Neoplasms,NA
184,eur,binary,phecode,527,59741,Cancer of other female genital organs,Neoplasms,NA
184.1,eur,binary,phecode,387,60018,Malignant neoplasm of ovary and other uterine adnexa,Neoplasms,NA
184.11,eur,binary,phecode,289,60197,Malignant neoplasm of ovary,Neoplasms,NA
185,afr,binary,phecode,334,16070,Cancer of prostate,Neoplasms,NA
185,eur,binary,phecode,1929,35816,Cancer of prostate,Neoplasms,NA
189,eur,binary,phecode,1039,97941,Cancer of urinary organs (incl. kidney and bladder),Neoplasms,NA
189.1,eur,binary,phecode,496,98773,Cancer of kidney and renal pelvis,Neoplasms,NA
189.11,eur,binary,phecode,376,98892,"Malignant neoplasm of kidney, except pelvis",Neoplasms,NA
189.2,eur,binary,phecode,556,98693,Cancer of bladder,Neoplasms,NA
189.21,eur,binary,phecode,498,98795,Malignant neoplasm of bladder,Neoplasms,NA
191,eur,binary,phecode,371,98777,Manlignant and unknown neoplasms of brain and nervous system,Neoplasms,NA
191.1,eur,binary,phecode,229,99064,Cancer of brain and nervous system,Neoplasms,NA
191.11,eur,binary,phecode,203,99139,Cancer of brain,Neoplasms,NA
193,eur,binary,phecode,677,98484,Thyroid cancer,Neoplasms,NA
195,afr,binary,phecode,239,39686,"Cancer, suspected or other",Neoplasms,NA
195,amr,binary,phecode,308,31526,"Cancer, suspected or other",Neoplasms,NA
195,eur,binary,phecode,1413,95582,"Cancer, suspected or other",Neoplasms,NA
195.1,eur,binary,phecode,815,96709,"Malignant neoplasm, other",Neoplasms,NA
196,eur,binary,phecode,462,88702,Radiotherapy,Neoplasms,NA
197,afr,binary,phecode,830,36353,Chemotherapy,Neoplasms,NA
197,amr,binary,phecode,1148,28675,Chemotherapy,Neoplasms,NA
197,eur,binary,phecode,2514,86693,Chemotherapy,Neoplasms,NA
198,afr,binary,phecode,312,39927,Secondary malignant neoplasm,Neoplasms,NA
198,amr,binary,phecode,321,31786,Secondary malignant neoplasm,Neoplasms,NA
198,eur,binary,phecode,1826,96483,Secondary malignant neoplasm,Neoplasms,NA
198.1,eur,binary,phecode,640,97857,Secondary malignancy of lymph nodes,Neoplasms,NA
198.2,eur,binary,phecode,360,98921,Secondary malignancy of respiratory organs,Neoplasms,NA
199,afr,binary,phecode,305,39290,Neoplasm of uncertain behavior,Neoplasms,NA
199,amr,binary,phecode,273,31364,Neoplasm of uncertain behavior,Neoplasms,NA
199,eur,binary,phecode,2166,92371,Neoplasm of uncertain behavior,Neoplasms,NA
200,eur,binary,phecode,313,98327,Myeloproliferative disease,Neoplasms,NA
202,eur,binary,phecode,832,98225,"Cancer of other lymphoid, histiocytic tissue",Neoplasms,NA
202.2,eur,binary,phecode,732,98415,Non-Hodgkins lymphoma,Neoplasms,NA
204,eur,binary,phecode,605,98491,Leukemia,Neoplasms,NA
204.1,eur,binary,phecode,282,99109,Lymphoid leukemia,Neoplasms,NA
204.12,eur,binary,phecode,201,99182,"Lymphoid leukemia, chronic",Neoplasms,NA
208,afr,binary,phecode,2637,36225,Benign neoplasm of colon,Neoplasms,NA
208,amr,binary,phecode,1616,29620,Benign neoplasm of colon,Neoplasms,NA
208,eas,binary,phecode,230,3548,Benign neoplasm of colon,Neoplasms,NA
208,eur,binary,phecode,12319,80026,Benign neoplasm of colon,Neoplasms,NA
211,eur,binary,phecode,568,96715,Benign neoplasm of other parts of digestive system,Neoplasms,NA
214,afr,binary,phecode,395,39375,Lipoma,Neoplasms,NA
214,amr,binary,phecode,259,31588,Lipoma,Neoplasms,NA
214,eur,binary,phecode,1363,95691,Lipoma,Neoplasms,NA
214.1,eur,binary,phecode,505,97275,Lipoma of skin and subcutaneous tissue,Neoplasms,NA
215,eur,binary,phecode,477,97633,Other benign neoplasm of connective and other soft tissue,Neoplasms,NA
216,afr,binary,phecode,525,38887,Benign neoplasm of skin,Neoplasms,NA
216,amr,binary,phecode,789,30247,Benign neoplasm of skin,Neoplasms,NA
216,eas,binary,phecode,205,3515,Benign neoplasm of skin,Neoplasms,NA
216,eur,binary,phecode,11544,79075,Benign neoplasm of skin,Neoplasms,NA
216.1,eur,binary,phecode,631,91722,Screening for malignant neoplasms of the skin,Neoplasms,NA
217,eur,binary,phecode,1568,92957,Vascular hamartomas and non-neoplastic nevi,Neoplasms,NA
217.1,eur,binary,phecode,1473,93190,"Nevus, non-neoplastic",Neoplasms,NA
218,afr,binary,phecode,1579,20689,Benign neoplasm of uterus,Neoplasms,NA
218,amr,binary,phecode,725,20082,Benign neoplasm of uterus,Neoplasms,NA
218,eur,binary,phecode,1672,56575,Benign neoplasm of uterus,Neoplasms,NA
218.1,afr,binary,phecode,1554,20716,Uterine leiomyoma,Neoplasms,NA
218.1,amr,binary,phecode,715,20105,Uterine leiomyoma,Neoplasms,NA
218.1,eur,binary,phecode,1570,56696,Uterine leiomyoma,Neoplasms,NA
224,eur,binary,phecode,624,98139,Benign neoplasm of eye,Neoplasms,NA
224.1,eur,binary,phecode,578,98270,"Benign neoplasm of eye, uveal",Neoplasms,NA
225,eur,binary,phecode,542,98527,Benign neoplasm of brain and other parts of nervous system,Neoplasms,NA
225.1,eur,binary,phecode,518,98568,"Benign neoplasm of brain, cranial nerves, meninges",Neoplasms,NA
227,eur,binary,phecode,532,98146,Benign neoplasm of other endocrine glands and related structures,Neoplasms,NA
227.1,eur,binary,phecode,230,98908,Benign neoplasm of adrenal gland,Neoplasms,NA
227.3,eur,binary,phecode,255,99026,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),Neoplasms,NA
228,eur,binary,phecode,2944,91039,"Hemangioma and lymphangioma, any site",Neoplasms,NA
228.1,eur,binary,phecode,2038,92660,Hemangioma of skin and subcutaneous tissue,Neoplasms,NA
229,eur,binary,phecode,357,97999,Benign neoplasm of unspecified sites,Neoplasms,NA
240,eur,binary,phecode,220,97726,Simple and unspecified goiter,Endocrine/metabolic,NA
241,afr,binary,phecode,1192,38250,Nontoxic nodular goiter,Endocrine/metabolic,NA
241,amr,binary,phecode,760,30893,Nontoxic nodular goiter,Endocrine/metabolic,NA
241,eur,binary,phecode,3772,92717,Nontoxic nodular goiter,Endocrine/metabolic,NA
241.1,afr,binary,phecode,398,38986,Nontoxic uninodular goiter,Endocrine/metabolic,NA
241.1,amr,binary,phecode,329,31261,Nontoxic uninodular goiter,Endocrine/metabolic,NA
241.1,eur,binary,phecode,1626,94266,Nontoxic uninodular goiter,Endocrine/metabolic,NA
241.2,afr,binary,phecode,389,39288,Nontoxic multinodular goiter,Endocrine/metabolic,NA
241.2,amr,binary,phecode,245,31619,Nontoxic multinodular goiter,Endocrine/metabolic,NA
241.2,eur,binary,phecode,1142,95995,Nontoxic multinodular goiter,Endocrine/metabolic,NA
242,afr,binary,phecode,449,39479,Thyrotoxicosis with or without goiter,Endocrine/metabolic,NA
242,amr,binary,phecode,287,31659,Thyrotoxicosis with or without goiter,Endocrine/metabolic,NA
242,eur,binary,phecode,975,97029,Thyrotoxicosis with or without goiter,Endocrine/metabolic,NA
242.1,eur,binary,phecode,281,98792,Graves' disease,Endocrine/metabolic,NA
244,afr,binary,phecode,1213,38164,Hypothyroidism,Endocrine/metabolic,NA
244,amr,binary,phecode,1611,29188,Hypothyroidism,Endocrine/metabolic,NA
244,eur,binary,phecode,9566,82952,Hypothyroidism,Endocrine/metabolic,NA
244.1,eur,binary,phecode,733,97240,Secondary hypothyroidism,Endocrine/metabolic,NA
244.2,eur,binary,phecode,833,95674,Acquired hypothyroidism,Endocrine/metabolic,NA
244.4,afr,binary,phecode,834,38392,Hypothyroidism NOS,Endocrine/metabolic,NA
244.4,amr,binary,phecode,1183,29399,Hypothyroidism NOS,Endocrine/metabolic,NA
244.4,eur,binary,phecode,7417,83988,Hypothyroidism NOS,Endocrine/metabolic,NA
245,eur,binary,phecode,844,96959,Thyroiditis,Endocrine/metabolic,NA
245.2,eur,binary,phecode,676,97272,Chronic thyroiditis,Endocrine/metabolic,NA
245.21,eur,binary,phecode,643,97332,Chronic lymphocytic thyroiditis,Endocrine/metabolic,NA
246,afr,binary,phecode,206,39538,Other disorders of thyroid,Endocrine/metabolic,NA
246,amr,binary,phecode,254,31239,Other disorders of thyroid,Endocrine/metabolic,NA
246,eur,binary,phecode,940,95516,Other disorders of thyroid,Endocrine/metabolic,NA
246.7,eur,binary,phecode,451,97162,Abnormal results of function study of thyroid,Endocrine/metabolic,NA
249,afr,binary,phecode,221,39729,Secondary diabetes mellitus,Endocrine/metabolic,NA
249,eur,binary,phecode,407,98280,Secondary diabetes mellitus,Endocrine/metabolic,NA
250,afr,binary,phecode,6556,31170,Diabetes mellitus,Endocrine/metabolic,NA
250,amr,binary,phecode,5292,25177,Diabetes mellitus,Endocrine/metabolic,NA
250,eas,binary,phecode,312,3495,Diabetes mellitus,Endocrine/metabolic,NA
250,eur,binary,phecode,11624,83080,Diabetes mellitus,Endocrine/metabolic,NA
250,sas,binary,phecode,234,2015,Diabetes mellitus,Endocrine/metabolic,NA
250.1,afr,binary,phecode,490,39373,Type 1 diabetes,Endocrine/metabolic,NA
250.1,amr,binary,phecode,422,31467,Type 1 diabetes,Endocrine/metabolic,NA
250.1,eur,binary,phecode,1153,97447,Type 1 diabetes,Endocrine/metabolic,NA
250.14,eur,binary,phecode,240,99048,Type 1 diabetes with neurological manifestations,Endocrine/metabolic,NA
250.2,afr,binary,phecode,6309,31321,Type 2 diabetes,Endocrine/metabolic,NA
250.2,amr,binary,phecode,5004,25328,Type 2 diabetes,Endocrine/metabolic,NA
250.2,eas,binary,phecode,293,3509,Type 2 diabetes,Endocrine/metabolic,NA
250.2,eur,binary,phecode,10931,83621,Type 2 diabetes,Endocrine/metabolic,NA
250.2,sas,binary,phecode,218,2022,Type 2 diabetes,Endocrine/metabolic,NA
250.22,afr,binary,phecode,862,38399,Type 2 diabetes with renal manifestations,Endocrine/metabolic,NA
250.22,amr,binary,phecode,661,30836,Type 2 diabetes with renal manifestations,Endocrine/metabolic,NA
250.22,eur,binary,phecode,1226,96095,Type 2 diabetes with renal manifestations,Endocrine/metabolic,NA
250.23,afr,binary,phecode,533,39176,Type 2 diabetes with ophthalmic manifestations,Endocrine/metabolic,NA
250.23,amr,binary,phecode,451,31240,Type 2 diabetes with ophthalmic manifestations,Endocrine/metabolic,NA
250.23,eur,binary,phecode,593,97875,Type 2 diabetes with ophthalmic manifestations,Endocrine/metabolic,NA
250.24,afr,binary,phecode,1361,37927,Type 2 diabetes with neurological manifestations,Endocrine/metabolic,NA
250.24,amr,binary,phecode,951,30560,Type 2 diabetes with neurological manifestations,Endocrine/metabolic,NA
250.24,eur,binary,phecode,2562,94783,Type 2 diabetes with neurological manifestations,Endocrine/metabolic,NA
250.25,afr,binary,phecode,287,39432,Diabetes type 2 with peripheral circulatory disorders,Endocrine/metabolic,NA
250.25,amr,binary,phecode,205,31637,Diabetes type 2 with peripheral circulatory disorders,Endocrine/metabolic,NA
250.25,eur,binary,phecode,455,97592,Diabetes type 2 with peripheral circulatory disorders,Endocrine/metabolic,NA
250.3,afr,binary,phecode,696,38093,Insulin pump user,Endocrine/metabolic,NA
250.3,amr,binary,phecode,409,30325,Insulin pump user,Endocrine/metabolic,NA
250.3,eur,binary,phecode,1130,95511,Insulin pump user,Endocrine/metabolic,NA
250.4,afr,binary,phecode,1762,34885,Abnormal glucose,Endocrine/metabolic,NA
250.4,amr,binary,phecode,1457,27876,Abnormal glucose,Endocrine/metabolic,NA
250.4,eas,binary,phecode,232,3384,Abnormal glucose,Endocrine/metabolic,NA
250.4,eur,binary,phecode,7198,80805,Abnormal glucose,Endocrine/metabolic,NA
250.41,afr,binary,phecode,378,39095,Impaired fasting glucose,Endocrine/metabolic,NA
250.41,amr,binary,phecode,378,31066,Impaired fasting glucose,Endocrine/metabolic,NA
250.41,eur,binary,phecode,2697,91752,Impaired fasting glucose,Endocrine/metabolic,NA
250.42,afr,binary,phecode,1136,35624,Other abnormal glucose,Endocrine/metabolic,NA
250.42,amr,binary,phecode,892,28602,Other abnormal glucose,Endocrine/metabolic,NA
250.42,eur,binary,phecode,3463,85449,Other abnormal glucose,Endocrine/metabolic,NA
250.6,afr,binary,phecode,438,38859,Polyneuropathy in diabetes,Endocrine/metabolic,NA
250.6,amr,binary,phecode,254,31190,Polyneuropathy in diabetes,Endocrine/metabolic,NA
250.6,eur,binary,phecode,876,96309,Polyneuropathy in diabetes,Endocrine/metabolic,NA
250.7,afr,binary,phecode,410,39597,Diabetic retinopathy,Endocrine/metabolic,NA
250.7,amr,binary,phecode,315,31576,Diabetic retinopathy,Endocrine/metabolic,NA
250.7,eur,binary,phecode,551,98366,Diabetic retinopathy,Endocrine/metabolic,NA
251.1,eur,binary,phecode,370,97317,Hypoglycemia,Endocrine/metabolic,NA
252,afr,binary,phecode,380,39710,Disorders of parathyroid gland,Endocrine/metabolic,NA
252,amr,binary,phecode,204,31887,Disorders of parathyroid gland,Endocrine/metabolic,NA
