Trait,Trait_Type,Meta_Group,Category,SubCategory,Description,num_samples.META,num_cases.META,num_controls.META,num_samples.AFR,num_cases.AFR,num_controls.AFR,num_samples.AMR,num_cases.AMR,num_controls.AMR,num_samples.EAS,num_cases.EAS,num_controls.EAS,num_samples.EUR,num_cases.EUR,num_controls.EUR,dbgap_cat.AFR,dbgap_cat.AMR,dbgap_cat.EAS,dbgap_cat.EUR,dbgap_cat.META,dbgap_cat.pheno
AST_Max_INT,qt,ALL,Labs,Labs,"aspartate aminotransferase (AST, maximum, inv-norm transformed)",562117,NA,NA,112550,NA,NA,54332,NA,NA,5839,NA,NA,389396,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
AST_Mean_INT,qt,ALL,Labs,Labs,"aspartate aminotransferase (AST, mean, inv-norm transformed)",561706,NA,NA,112429,NA,NA,54250,NA,NA,5835,NA,NA,389192,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
AST_Min_INT,qt,ALL,Labs,Labs,"aspartate aminotransferase (AST, minimum, inv-norm transformed)",561715,NA,NA,112345,NA,NA,54221,NA,NA,5834,NA,NA,389315,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Baso_Abs_Max_INT,qt,ALL,Labs,Labs,"basophil (absolute count, maximum, inv-norm transformed)",227130,NA,NA,45860,NA,NA,20384,NA,NA,2440,NA,NA,158446,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Baso_Abs_Mean_INT,qt,ALL,Labs,Labs,"basophil (absolute count, mean, inv-norm transformed)",227322,NA,NA,45900,NA,NA,20397,NA,NA,2442,NA,NA,158583,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Baso_Abs_Min_INT,qt,ALL,Labs,Labs,"basophil (absolute count, minimum, inv-norm transformed)",227353,NA,NA,45901,NA,NA,20400,NA,NA,2443,NA,NA,158609,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Baso_Fra_Max_INT,qt,ALL,Labs,Labs,"basophil (fraction, maximum, inv-norm transformed)",330024,NA,NA,67485,NA,NA,36872,NA,NA,4010,NA,NA,221657,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Baso_Fra_Mean_INT,qt,ALL,Labs,Labs,"basophil (fraction, mean, inv-norm transformed)",330024,NA,NA,67485,NA,NA,36872,NA,NA,4010,NA,NA,221657,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Baso_Fra_Min_INT,qt,ALL,Labs,Labs,"basophil (fraction, minimum, inv-norm transformed)",330024,NA,NA,67485,NA,NA,36872,NA,NA,4010,NA,NA,221657,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Bicarbonate_Max_INT,qt,ALL,Labs,Labs,"bicarbonate (maximum, inv-norm transformed)",585125,NA,NA,112830,NA,NA,54558,NA,NA,5460,NA,NA,412277,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Bicarbonate_Mean_INT,qt,ALL,Labs,Labs,"bicarbonate (mean, inv-norm transformed)",585421,NA,NA,112877,NA,NA,54571,NA,NA,5460,NA,NA,412513,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Bicarbonate_Min_INT,qt,ALL,Labs,Labs,"bicarbonate (minimum, inv-norm transformed)",585429,NA,NA,112877,NA,NA,54566,NA,NA,5459,NA,NA,412527,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BMI_Max_INT,qt,ALL,Vitals,Vitals,"body mass index (BMI, maximum, inv-normal transformed)",607406,NA,NA,118995,NA,NA,57796,NA,NA,6384,NA,NA,424231,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BMI_Mean_INT,qt,ALL,Vitals,Vitals,"body mass index (BMI, mean, inv-normal transformed)",607391,NA,NA,118993,NA,NA,57793,NA,NA,6384,NA,NA,424221,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BMI_Min_INT,qt,ALL,Vitals,Vitals,"body mass index (BMI, minimum, inv-normal transformed)",607387,NA,NA,118992,NA,NA,57794,NA,NA,6384,NA,NA,424217,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BNP_Max_INT,qt,AfAdE,Labs,Labs,"brain natriuretic peptide (BNP, maximum, inv-norm transformed)",31084,NA,NA,5826,NA,NA,2501,NA,NA,NA,NA,NA,22757,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BNP_Mean_INT,qt,AfAdE,Labs,Labs,"brain natriuretic peptide (BNP, mean, inv-norm transformed)",31102,NA,NA,5833,NA,NA,2502,NA,NA,NA,NA,NA,22767,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BNP_Min_INT,qt,AfAdE,Labs,Labs,"brain natriuretic peptide (BNP, minimum, inv-norm transformed)",31092,NA,NA,5835,NA,NA,2502,NA,NA,NA,NA,NA,22755,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BUN_BSP_Max_INT,qt,ALL,Labs,Labs,"blood urea nitrogen (BUN, maximum, inv-norm transformed)",598949,NA,NA,117530,NA,NA,57007,NA,NA,6277,NA,NA,418135,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BUN_BSP_Mean_INT,qt,ALL,Labs,Labs,"blood urea nitrogen (BUN, mean, inv-norm transformed)",599920,NA,NA,117876,NA,NA,57109,NA,NA,6288,NA,NA,418647,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
BUN_BSP_Min_INT,qt,ALL,Labs,Labs,"blood urea nitrogen (BUN, minimum, inv-norm transformed)",600803,NA,NA,118165,NA,NA,57207,NA,NA,6303,NA,NA,419128,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaBrst,binary,AfE,Surveys,Disease Diagnosis,Breast Cancer,371173,2088,369085,55505,439,55066,NA,NA,NA,NA,NA,NA,315668,1649,314019,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaBrstMed,binary,AfE,Surveys,Disease Diagnosis,Takes medication for breast cancer?,371173,1447,369726,55505,377,55128,NA,NA,NA,NA,NA,NA,315668,1070,314598,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaColon,binary,AfAdE,Surveys,Disease Diagnosis,Colon Cancer/Rectal Cancer,400487,7341,393146,55505,876,54629,29314,401,28913,NA,NA,NA,315668,6064,309604,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaColonMed,binary,AfE,Surveys,Disease Diagnosis,Takes medication for colon cancer/rectal cancer?,371173,1893,369280,55505,435,55070,NA,NA,NA,NA,NA,NA,315668,1458,314210,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Calcium_mg_Max_INT,qt,ALL,Labs,Labs,"calcium (maximum, inv-norm transformed)",355606,NA,NA,74104,NA,NA,26929,NA,NA,3654,NA,NA,250919,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Calcium_mg_Mean_INT,qt,ALL,Labs,Labs,"calcium (mean, inv-norm transformed)",355605,NA,NA,74137,NA,NA,26932,NA,NA,3651,NA,NA,250885,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Calcium_mg_Min_INT,qt,ALL,Labs,Labs,"calcium (minimum, inv-norm transformed)",358800,NA,NA,74760,NA,NA,27285,NA,NA,3683,NA,NA,253072,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaLung,binary,AfE,Surveys,Disease Diagnosis,Lung Cancer,371173,4555,366618,55505,547,54958,NA,NA,NA,NA,NA,NA,315668,4008,311660,NOT_SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaLungMed,binary,AfE,Surveys,Disease Diagnosis,Takes medication for lung cancer?,371173,2049,369124,55505,415,55090,NA,NA,NA,NA,NA,NA,315668,1634,314034,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaOth,binary,AfAdE,Surveys,Disease Diagnosis,Other cancer,400487,26590,373897,55505,2050,53455,29314,1338,27976,NA,NA,NA,315668,23202,292466,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaOthMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for other cancer?,400487,7478,393009,55505,928,54577,29314,439,28875,NA,NA,NA,315668,6111,309557,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaPros,binary,AfAdE,Surveys,Disease Diagnosis,Prostate Cancer,367640,36087,331553,48011,5764,42247,26428,1678,24750,NA,NA,NA,293201,28645,264556,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaProsMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for prostate cancer?,367640,10572,357068,48011,2414,45597,26428,592,25836,NA,NA,NA,293201,7566,285635,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaSkin,binary,AfAdE,Surveys,Disease Diagnosis,Skin Cancer,400487,56692,343795,55505,431,55074,29314,979,28335,NA,NA,NA,315668,55282,260386,SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CaSkinMed,binary,AfE,Surveys,Disease Diagnosis,Takes medication for skin cancer?,371173,6039,365134,55505,351,55154,NA,NA,NA,NA,NA,NA,315668,5688,309980,SENSITIVE,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Chloride_BSP_Max_INT,qt,ALL,Labs,Labs,"chloride  (maximum, inv-norm transformed)",585336,NA,NA,112840,NA,NA,54560,NA,NA,5464,NA,NA,412472,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Chloride_BSP_Mean_INT,qt,ALL,Labs,Labs,"chloride  (mean, inv-norm transformed)",585501,NA,NA,112886,NA,NA,54578,NA,NA,5468,NA,NA,412569,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Chloride_BSP_Min_INT,qt,ALL,Labs,Labs,"chloride  (minimum, inv-norm transformed)",585209,NA,NA,112827,NA,NA,54550,NA,NA,5467,NA,NA,412365,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircCAD,binary,ALL,Surveys,Disease Diagnosis,"Coronary Artery / Coronary Heart Disease (including heart attack, angina)",404034,61575,342459,55505,5298,50207,29314,3107,26207,3547,381,3166,315668,52789,262879,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircCADMed,binary,ALL,Surveys,Disease Diagnosis,Takes medication for coronary artery/ coronary heart disease?,404034,52381,351653,55505,4684,50821,29314,2687,26627,3547,329,3218,315668,44681,270987,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircCHF,binary,AfAdE,Surveys,Disease Diagnosis,Congestive Heart Failure,400487,23764,376723,55505,3230,52275,29314,1184,28130,NA,NA,NA,315668,19350,296318,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircCHFMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for congestive heart failure?,400487,21270,379217,55505,3006,52499,29314,1122,28192,NA,NA,NA,315668,17142,298526,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircChol,binary,ALL,Surveys,Disease Diagnosis,High Cholesterol,404034,221526,182508,55505,28037,27468,29314,14887,14427,3547,1998,1549,315668,176604,139064,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircCholMed,binary,ALL,Surveys,Disease Diagnosis,Takes medication for high cholesterol?,404034,186652,217382,55505,23091,32414,29314,11967,17347,3547,1621,1926,315668,149973,165695,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircClot,binary,AfAdE,Surveys,Disease Diagnosis,Blood clot / Pulmonary Embolism / Deep Vein Thrombosis (DVT),400487,12740,387747,55505,1779,53726,29314,628,28686,NA,NA,NA,315668,10333,305335,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircClotMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for blood clot/ pulmonary embolism/ deep vein thrombosis (DVT)?,400487,10042,390445,55505,1553,53952,29314,533,28781,NA,NA,NA,315668,7956,307712,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircHrtAtk,binary,ALL,Surveys,Disease Diagnosis,Heart Attack,404034,45870,358164,55505,3961,51544,29314,2384,26930,3547,225,3322,315668,39300,276368,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircHrtAtkMed,binary,ALL,Surveys,Disease Diagnosis,Takes medication for heart attack?,404034,39623,364411,55505,3628,51877,29314,2097,27217,3547,210,3337,315668,33688,281980,NOT_SENSITIVE,NOT_SENSITIVE,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircHTN,binary,ALL,Surveys,Disease Diagnosis,High blood pressure / hypertension,404034,248259,155775,55505,38518,16987,29314,16330,12984,3547,2059,1488,315668,191352,124316,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircHTNMed,binary,ALL,Surveys,Disease Diagnosis,Takes medication for high blood pressure?,404034,231989,172045,55505,35848,19657,29314,14901,14413,3547,1884,1663,315668,179356,136312,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircOth,binary,AfAdE,Surveys,Disease Diagnosis,Other circulatory problem,400487,34101,366386,55505,4081,51424,29314,1929,27385,NA,NA,NA,315668,28091,287577,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircOthMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for circulatory problem?,400487,22776,377711,55505,2937,52568,29314,1317,27997,NA,NA,NA,315668,18522,297146,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircPVD,binary,AfAdE,Surveys,Disease Diagnosis,Peripheral Vascular Disease,400487,17705,382782,55505,1932,53573,29314,974,28340,NA,NA,NA,315668,14799,300869,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircPVDMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for peripheral vascular disease?,400487,13527,386960,55505,1715,53790,29314,793,28521,NA,NA,NA,315668,11019,304649,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircStrk,binary,AfAdE,Surveys,Disease Diagnosis,Stroke,400487,23725,376762,55505,3765,51740,29314,1524,27790,NA,NA,NA,315668,18436,297232,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircStrkMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for stroke?,400487,17866,382621,55505,2878,52627,29314,1165,28149,NA,NA,NA,315668,13823,301845,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircTIA,binary,AfAdE,Surveys,Disease Diagnosis,Transient Ischemic Attack (TIA),400487,15423,385064,55505,1329,54176,29314,795,28519,NA,NA,NA,315668,13299,302369,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CircTIAMed,binary,AfAdE,Surveys,Disease Diagnosis,Takes medication for transient ischemic attack (TIA)?,400487,11390,389097,55505,1397,54108,29314,648,28666,NA,NA,NA,315668,9345,306323,NOT_SENSITIVE,NOT_SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CKMB_Abs_Max_INT,qt,AfAdE,Labs,Labs,"creatine kinase-MB (CKMB, absolute, maximum, inv-norm transformed)",43291,NA,NA,11705,NA,NA,3820,NA,NA,NA,NA,NA,27766,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CKMB_Abs_Mean_INT,qt,AfAdE,Labs,Labs,"creatine kinase-MB (CKMB, absolute, mean, inv-norm transformed)",43186,NA,NA,11686,NA,NA,3811,NA,NA,NA,NA,NA,27689,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CKMB_Abs_Min_INT,qt,AfAdE,Labs,Labs,"creatine kinase-MB (CKMB, absolute, minimum, inv-norm transformed)",43104,NA,NA,11664,NA,NA,3806,NA,NA,NA,NA,NA,27634,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CKMB_Fra_Max_INT,qt,AfE,Labs,Labs,"creatine kinase-MB (CKMB, fraction, maximum, inv-norm transformed)",5954,NA,NA,1393,NA,NA,NA,NA,NA,NA,NA,NA,4561,NA,NA,SENSITIVE,NA,NA,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CKMB_Fra_Mean_INT,qt,AfE,Labs,Labs,"creatine kinase-MB (CKMB, fraction, mean, inv-norm transformed)",5954,NA,NA,1393,NA,NA,NA,NA,NA,NA,NA,NA,4561,NA,NA,SENSITIVE,NA,NA,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CKMB_Fra_Min_INT,qt,AfE,Labs,Labs,"creatine kinase-MB (CKMB, fraction, minimum, inv-norm transformed)",5954,NA,NA,1393,NA,NA,NA,NA,NA,NA,NA,NA,4561,NA,NA,SENSITIVE,NA,NA,SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Creat_BSP_Max_INT,qt,ALL,Labs,Labs,"creatinine (maximum, inv-norm transformed)",600139,NA,NA,116285,NA,NA,57003,NA,NA,6275,NA,NA,420576,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Creat_BSP_Mean_INT,qt,ALL,Labs,Labs,"creatinine (mean, inv-norm transformed)",601544,NA,NA,116707,NA,NA,57141,NA,NA,6285,NA,NA,421411,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
Creat_BSP_Min_INT,qt,ALL,Labs,Labs,"creatinine (minimum, inv-norm transformed)",602615,NA,NA,117108,NA,NA,57292,NA,NA,6305,NA,NA,421910,NA,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CRP_dL_Max_INT,qt,AfAdE,Labs,Labs,"C-reactive protein (CRP, dL, maximum, inv-norm transformed)",32117,NA,NA,7922,NA,NA,3601,NA,NA,NA,NA,NA,20594,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CRP_dL_Mean_INT,qt,AfAdE,Labs,Labs,"C-reactive protein (CRP, dL, mean, inv-norm transformed)",32114,NA,NA,7924,NA,NA,3602,NA,NA,NA,NA,NA,20588,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CRP_dL_Min_INT,qt,AfAdE,Labs,Labs,"C-reactive protein (CRP, dL, minimum, inv-norm transformed)",32083,NA,NA,7913,NA,NA,3596,NA,NA,NA,NA,NA,20574,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CRP_L_Max_INT,qt,AfAdE,Labs,Labs,"C-reactive protein (CRP, L, maximum, inv-norm transformed)",35029,NA,NA,5067,NA,NA,3414,NA,NA,NA,NA,NA,26548,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CRP_L_Mean_INT,qt,AfAdE,Labs,Labs,"C-reactive protein (CRP, L, mean, inv-norm transformed)",34991,NA,NA,5051,NA,NA,3412,NA,NA,NA,NA,NA,26528,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
CRP_L_Min_INT,qt,AfAdE,Labs,Labs,"C-reactive protein (CRP, L, minimum, inv-norm transformed)",34920,NA,NA,5042,NA,NA,3407,NA,NA,NA,NA,NA,26471,NA,NA,NOT_SENSITIVE,SENSITIVE,NA,NOT_SENSITIVE,NOT_SENSITIVE,NOT_SENSITIVE
