File: A1C_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
ASoC_TNFa_11samp_WGS	5.5855e-04	-5.5501e-02	3.0970e-02	-9.9365e+01	5.5447e+01	1.1365e-01
ASoC_UT_11samp_WGS	4.8543e-04	-5.3797e-02	3.5932e-02	-1.1082e+02	7.4021e+01	1.2798e-01
MAFbin1	6.1034e-02	-6.0177e-02	6.5565e-02	-9.8596e-01	1.0742e+00	8.1718e-02
MAFbin2	5.9542e-02	1.0625e-01	7.2367e-02	1.7844e+00	1.2154e+00	5.0354e-01
MAFbin3	5.9394e-02	-6.6622e-02	6.3985e-02	-1.1217e+00	1.0773e+00	7.0338e-02
MAFbin4	6.0043e-02	4.9787e-01	1.8324e-01	8.2918e+00	3.0518e+00	3.9931e-02
MAFbin5	5.8625e-02	-9.2659e-02	1.0695e-01	-1.5805e+00	1.8243e+00	1.9337e-01
MAFbin6	5.9415e-02	2.8191e-03	1.1252e-01	4.7448e-02	1.8938e+00	5.6849e-01
MAFbin7	5.9469e-02	7.6641e-02	6.2066e-02	1.2887e+00	1.0437e+00	7.7709e-01
MAFbin8	5.9765e-02	-1.2416e-01	9.2167e-02	-2.0774e+00	1.5422e+00	5.3429e-02
MAFbin9	6.0284e-02	2.4621e-01	1.2190e-01	4.0842e+00	2.0220e+00	9.1508e-02
MAFbin10	5.8711e-02	6.1875e-02	9.1972e-02	1.0539e+00	1.5665e+00	9.7201e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-1.8460e-01	4.7930e-01	-9.1260e+04	2.3694e+05	6.7971e-01
MAF_Adj_LLD_AFR	1.6675e-03	-1.5071e-01	2.4108e-01	-9.0384e+01	1.4458e+02	5.1692e-01
Recomb_Rate_10kb	1.5151e+00	1.6161e+00	8.9011e-01	1.0667e+00	5.8748e-01	9.0763e-01
Nucleotide_Diversity_10kb	4.4496e+00	4.5169e+00	4.7640e-01	1.0151e+00	1.0707e-01	8.8136e-01
Backgrd_Selection_Stat	1.8503e-01	2.0642e-01	3.4649e-02	1.1156e+00	1.8726e-01	4.9885e-01
CpG_Content_50kb	1.0097e-02	1.2873e-02	9.0695e-04	1.2750e+00	8.9822e-02	1.7927e-02

---

File: AST_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	2.0027e-01	1.7299e-01	3.1483e+01	2.7194e+01	2.5918e-01
020222_ATAC_Stim_UT	6.4117e-03	2.0084e-01	1.8997e-01	3.1324e+01	2.9629e+01	3.0435e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-5.7758e-02	3.6280e-02	-1.0341e+02	6.4953e+01	1.2923e-01
ASoC_UT_11samp_WGS	4.8543e-04	-4.9860e-02	2.7129e-02	-1.0271e+02	5.5886e+01	7.8776e-02
MAFbin1	6.1034e-02	3.7005e-02	5.7619e-02	6.0630e-01	9.4405e-01	6.7646e-01
MAFbin2	5.9542e-02	1.3188e-01	9.5482e-02	2.2149e+00	1.6036e+00	4.3535e-01
MAFbin3	5.9394e-02	-7.4629e-02	6.1791e-02	-1.2565e+00	1.0404e+00	2.8002e-02
MAFbin4	6.0043e-02	2.2869e-01	1.5227e-01	3.8088e+00	2.5361e+00	2.7860e-01
MAFbin5	5.8625e-02	3.7608e-02	1.0814e-01	6.4151e-01	1.8447e+00	8.4508e-01
MAFbin6	5.9415e-02	1.2004e-01	8.5543e-02	2.0203e+00	1.4398e+00	4.7358e-01
MAFbin7	5.9469e-02	-1.6338e-02	5.2947e-02	-2.7473e-01	8.9032e-01	1.7197e-01
MAFbin8	5.9765e-02	8.8771e-02	1.0484e-01	1.4853e+00	1.7543e+00	7.7733e-01
MAFbin9	6.0284e-02	1.2891e-01	1.1276e-01	2.1384e+00	1.8705e+00	5.3679e-01
MAFbin10	5.8711e-02	1.6510e-01	1.0150e-01	2.8121e+00	1.7288e+00	2.8414e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	3.4489e-02	3.6138e-01	1.7050e+04	1.7865e+05	9.2193e-01
MAF_Adj_LLD_AFR	1.6675e-03	-1.8900e-01	2.2024e-01	-1.1334e+02	1.3208e+02	3.8674e-01
Recomb_Rate_10kb	1.5151e+00	2.0925e+00	8.3828e-01	1.3810e+00	5.5327e-01	5.0131e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.5750e+00	4.2411e-01	8.0344e-01	9.5314e-02	1.9882e-02
Backgrd_Selection_Stat	1.8503e-01	2.3000e-01	3.0951e-02	1.2430e+00	1.6727e-01	1.3440e-01
CpG_Content_50kb	1.0097e-02	1.3557e-02	8.2575e-04	1.3427e+00	8.1781e-02	4.7827e-04

---

File: Bicarbonate_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	7.7581e-02	1.1666e-01	1.2196e+01	1.8339e+01	5.4952e-01
020222_ATAC_Stim_UT	6.4117e-03	8.9603e-02	1.2408e-01	1.3975e+01	1.9352e+01	5.1105e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	2.3970e-02	6.6704e-02	4.2915e+01	1.1942e+02	7.1958e-01
ASoC_UT_11samp_WGS	4.8543e-04	1.3459e-02	4.1559e-02	2.7726e+01	8.5613e+01	7.5314e-01
MAFbin1	6.1034e-02	4.4655e-02	7.1281e-02	7.3164e-01	1.1679e+00	8.1745e-01
MAFbin2	5.9542e-02	2.0056e-01	8.8082e-02	3.3683e+00	1.4793e+00	1.0118e-01
MAFbin3	5.9394e-02	-7.2020e-02	8.7445e-02	-1.2126e+00	1.4723e+00	1.3468e-01
MAFbin4	6.0043e-02	1.0905e-01	1.0744e-01	1.8162e+00	1.7893e+00	6.4294e-01
MAFbin5	5.8625e-02	9.0195e-02	8.4294e-02	1.5385e+00	1.4379e+00	7.0093e-01
MAFbin6	5.9415e-02	-1.1860e-02	9.0472e-02	-1.9961e-01	1.5227e+00	4.3714e-01
MAFbin7	5.9469e-02	1.4963e-01	9.7042e-02	2.5161e+00	1.6318e+00	3.3905e-01
MAFbin8	5.9765e-02	4.0841e-01	3.0941e-01	6.8337e+00	5.1770e+00	2.5392e-01
MAFbin9	6.0284e-02	-1.1334e-01	1.7781e-01	-1.8801e+00	2.9495e+00	3.2693e-01
MAFbin10	5.8711e-02	9.5381e-02	1.4033e-01	1.6246e+00	2.3902e+00	7.9076e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-2.7603e-01	4.1437e-01	-1.3646e+05	2.0484e+05	5.0820e-01
MAF_Adj_LLD_AFR	1.6675e-03	-6.8538e-01	2.1657e-01	-4.1103e+02	1.2988e+02	1.3107e-03
Recomb_Rate_10kb	1.5151e+00	7.4768e-01	1.1255e+00	4.9347e-01	7.4285e-01	4.6713e-01
Nucleotide_Diversity_10kb	4.4496e+00	4.2447e+00	4.4632e-01	9.5393e-01	1.0030e-01	6.3966e-01
Backgrd_Selection_Stat	1.8503e-01	1.6270e-01	3.5522e-02	8.7929e-01	1.9197e-01	5.2487e-01
CpG_Content_50kb	1.0097e-02	1.3120e-02	8.6328e-04	1.2994e+00	8.5498e-02	1.4966e-03

---

File: Chloride_BSP_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	3.4925e-03	6.6912e-02	5.4901e-01	1.0518e+01	9.6409e-01
020222_ATAC_Stim_UT	6.4117e-03	3.8545e-02	7.7308e-02	6.0117e+00	1.2057e+01	6.4045e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-7.4485e-03	2.8840e-02	-1.3335e+01	5.1633e+01	7.7892e-01
ASoC_UT_11samp_WGS	4.8543e-04	-2.1079e-02	1.2958e-02	-4.3422e+01	2.6693e+01	5.8596e-02
MAFbin1	6.1034e-02	7.3497e-02	4.7556e-02	1.2042e+00	7.7917e-01	7.9355e-01
MAFbin2	5.9542e-02	2.0623e-01	9.0007e-02	3.4636e+00	1.5117e+00	7.4452e-03
MAFbin3	5.9394e-02	-7.3980e-02	4.6445e-02	-1.2456e+00	7.8199e-01	5.0090e-03
MAFbin4	6.0043e-02	1.1898e-02	5.4662e-02	1.9815e-01	9.1039e-01	3.8400e-01
MAFbin5	5.8625e-02	1.4022e-01	6.1819e-02	2.3918e+00	1.0545e+00	1.7907e-01
MAFbin6	5.9415e-02	-1.8973e-02	4.4156e-02	-3.1932e-01	7.4318e-01	9.8943e-02
MAFbin7	5.9469e-02	1.6092e-02	4.3150e-02	2.7060e-01	7.2559e-01	3.5807e-01
MAFbin8	5.9765e-02	2.2213e-01	1.7855e-01	3.7168e+00	2.9875e+00	2.9643e-01
MAFbin9	6.0284e-02	-6.3343e-02	8.8207e-02	-1.0507e+00	1.4632e+00	1.2419e-01
MAFbin10	5.8711e-02	1.2784e-01	9.6493e-02	2.1774e+00	1.6435e+00	4.4424e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-2.8381e-01	2.4456e-01	-1.4030e+05	1.2090e+05	2.7938e-01
MAF_Adj_LLD_AFR	1.6675e-03	-2.6155e-01	1.8603e-01	-1.5685e+02	1.1156e+02	6.1852e-02
Recomb_Rate_10kb	1.5151e+00	7.5684e-01	5.5404e-01	4.9952e-01	3.6567e-01	2.2435e-01
Nucleotide_Diversity_10kb	4.4496e+00	4.2150e+00	2.4091e-01	9.4726e-01	5.4141e-02	3.5361e-01
Backgrd_Selection_Stat	1.8503e-01	2.9132e-01	4.8743e-02	1.5744e+00	2.6343e-01	1.2049e-01
CpG_Content_50kb	1.0097e-02	1.0775e-02	3.7724e-04	1.0671e+00	3.7361e-02	1.0108e-01

---

File: CircChol_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	1.6067e-01	1.0317e-01	2.5258e+01	1.6218e+01	1.0014e-01
020222_ATAC_Stim_UT	6.4117e-03	1.2249e-01	1.3669e-01	1.9104e+01	2.1319e+01	3.7837e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-1.9196e-02	5.2411e-02	-3.4367e+01	9.3833e+01	7.0101e-01
ASoC_UT_11samp_WGS	4.8543e-04	-1.7908e-04	5.5331e-02	-3.6892e-01	1.1398e+02	9.9040e-01
MAFbin1	6.1034e-02	1.9178e-01	9.7396e-02	3.1422e+00	1.5958e+00	1.6068e-01
MAFbin2	5.9542e-02	1.3063e-01	1.1196e-01	2.1939e+00	1.8804e+00	5.1401e-01
MAFbin3	5.9394e-02	9.9993e-02	1.0510e-01	1.6836e+00	1.7696e+00	6.9413e-01
MAFbin4	6.0043e-02	1.4946e-01	1.1989e-01	2.4893e+00	1.9967e+00	4.4599e-01
MAFbin5	5.8625e-02	8.1342e-02	1.1826e-01	1.3875e+00	2.0173e+00	8.4465e-01
MAFbin6	5.9415e-02	2.8555e-01	1.0994e-01	4.8060e+00	1.8503e+00	2.7667e-02
MAFbin7	5.9469e-02	2.1383e-01	1.0785e-01	3.5956e+00	1.8135e+00	1.3126e-01
MAFbin8	5.9765e-02	5.8998e-02	1.1332e-01	9.8718e-01	1.8960e+00	9.9439e-01
MAFbin9	6.0284e-02	7.8493e-02	1.3533e-01	1.3021e+00	2.2449e+00	8.9154e-01
MAFbin10	5.8711e-02	-2.4868e-02	9.1126e-02	-4.2356e-01	1.5521e+00	3.5351e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-5.5081e-01	5.5239e-01	-2.7229e+05	2.7307e+05	3.2505e-01
MAF_Adj_LLD_AFR	1.6675e-03	-8.9538e-01	2.8164e-01	-5.3696e+02	1.6890e+02	1.6618e-03
Recomb_Rate_10kb	1.5151e+00	2.7643e+00	1.4171e+00	1.8245e+00	9.3528e-01	4.0317e-01
Nucleotide_Diversity_10kb	4.4496e+00	2.2779e+00	5.9851e-01	5.1194e-01	1.3451e-01	6.3527e-07
Backgrd_Selection_Stat	1.8503e-01	2.3932e-01	4.6080e-02	1.2934e+00	2.4904e-01	2.1575e-01
CpG_Content_50kb	1.0097e-02	1.2953e-02	9.4423e-04	1.2828e+00	9.3515e-02	3.8270e-03

---

File: DoDM_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	1.8361e-01	1.1467e-01	2.8863e+01	1.8025e+01	1.1205e-01
020222_ATAC_Stim_UT	6.4117e-03	3.1694e-01	1.3676e-01	4.9431e+01	2.1330e+01	1.8286e-02
ASoC_TNFa_11samp_WGS	5.5855e-04	8.8086e-02	6.7513e-02	1.5770e+02	1.2087e+02	1.8359e-01
ASoC_UT_11samp_WGS	4.8543e-04	-4.2685e-02	2.5198e-02	-8.7932e+01	5.1908e+01	1.0323e-01
MAFbin1	6.1034e-02	-5.7170e-03	8.3530e-02	-9.3670e-02	1.3686e+00	3.7000e-01
MAFbin2	5.9542e-02	1.0277e-02	7.9766e-02	1.7259e-01	1.3397e+00	5.2762e-01
MAFbin3	5.9394e-02	6.7925e-02	9.9263e-02	1.1436e+00	1.6713e+00	9.3133e-01
MAFbin4	6.0043e-02	1.0636e-01	8.9773e-02	1.7714e+00	1.4952e+00	6.0260e-01
MAFbin5	5.8625e-02	1.7357e-01	1.5638e-01	2.9606e+00	2.6675e+00	4.5158e-01
MAFbin6	5.9415e-02	2.7064e-02	1.1778e-01	4.5551e-01	1.9824e+00	7.7039e-01
MAFbin7	5.9469e-02	-1.8446e-02	8.4376e-02	-3.1018e-01	1.4188e+00	3.4225e-01
MAFbin8	5.9765e-02	2.8277e-01	1.5196e-01	4.7314e+00	2.5426e+00	8.5292e-02
MAFbin9	6.0284e-02	2.0575e-01	1.4242e-01	3.4130e+00	2.3626e+00	2.7828e-01
MAFbin10	5.8711e-02	1.6710e-02	1.4243e-01	2.8461e-01	2.4260e+00	7.5888e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-8.6899e-02	6.9577e-01	-4.2959e+04	3.4396e+05	9.0073e-01
MAF_Adj_LLD_AFR	1.6675e-03	-6.6372e-01	3.5146e-01	-3.9804e+02	2.1077e+02	1.2024e-01
Recomb_Rate_10kb	1.5151e+00	3.0600e+00	1.0180e+00	2.0196e+00	6.7190e-01	1.5717e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.6469e+00	4.4938e-01	8.1960e-01	1.0099e-01	7.7187e-02
Backgrd_Selection_Stat	1.8503e-01	1.5773e-01	4.3062e-02	8.5245e-01	2.3272e-01	5.2475e-01
CpG_Content_50kb	1.0097e-02	1.4970e-02	1.3966e-03	1.4826e+00	1.3831e-01	2.2088e-03

---

File: DoThy_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	-7.8894e-02	2.2075e-01	-1.2402e+01	3.4701e+01	6.9799e-01
020222_ATAC_Stim_UT	6.4117e-03	-3.9559e-02	2.3992e-01	-6.1699e+00	3.7418e+01	8.4634e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-4.9617e-02	6.4232e-02	-8.8831e+01	1.1500e+02	4.4544e-01
ASoC_UT_11samp_WGS	4.8543e-04	1.8785e-02	9.0236e-02	3.8697e+01	1.8589e+02	8.4271e-01
MAFbin1	6.1034e-02	1.8878e-01	1.5659e-01	3.0930e+00	2.5656e+00	3.9653e-01
MAFbin2	5.9542e-02	-1.1488e-02	1.2601e-01	-1.9294e-01	2.1164e+00	5.6207e-01
MAFbin3	5.9394e-02	-3.7312e-02	1.5090e-01	-6.2822e-01	2.5408e+00	4.9576e-01
MAFbin4	6.0043e-02	4.2131e-02	1.2334e-01	7.0169e-01	2.0543e+00	8.8274e-01
MAFbin5	5.8625e-02	1.5537e-01	1.5455e-01	2.6503e+00	2.6362e+00	5.0800e-01
MAFbin6	5.9415e-02	1.6319e-01	1.5692e-01	2.7466e+00	2.6411e+00	4.9575e-01
MAFbin7	5.9469e-02	1.1671e-01	1.4678e-01	1.9626e+00	2.4682e+00	6.9228e-01
MAFbin8	5.9765e-02	1.4966e-01	1.5537e-01	2.5041e+00	2.5997e+00	5.3965e-01
MAFbin9	6.0284e-02	4.1397e-01	2.4207e-01	6.8670e+00	4.0154e+00	8.8822e-02
MAFbin10	5.8711e-02	-2.7256e-01	1.8635e-01	-4.6424e+00	3.1740e+00	2.5660e-02
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-3.7049e-02	5.5244e-01	-1.8315e+04	2.7310e+05	9.4674e-01
MAF_Adj_LLD_AFR	1.6675e-03	-9.4129e-01	3.7640e-01	-5.6450e+02	2.2573e+02	1.5348e-02
Recomb_Rate_10kb	1.5151e+00	2.6998e+00	1.5301e+00	1.7819e+00	1.0099e+00	4.4723e-01
Nucleotide_Diversity_10kb	4.4496e+00	2.8127e+00	8.4088e-01	6.3212e-01	1.8898e-01	1.9251e-02
Backgrd_Selection_Stat	1.8503e-01	1.5857e-01	5.9645e-02	8.5697e-01	3.2234e-01	6.5080e-01
CpG_Content_50kb	1.0097e-02	1.6940e-02	2.0625e-03	1.6777e+00	2.0427e-01	1.3170e-04

---

File: eGFR_Mean_INT_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	-6.0207e-02	4.8371e-02	-9.4645e+00	7.6039e+00	1.9558e-01
020222_ATAC_Stim_UT	6.4117e-03	-4.6484e-02	5.8656e-02	-7.2498e+00	9.1482e+00	3.7878e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-1.3477e-02	1.6447e-02	-2.4128e+01	2.9446e+01	3.7906e-01
ASoC_UT_11samp_WGS	4.8543e-04	1.1792e-02	3.0553e-02	2.4292e+01	6.2939e+01	7.1449e-01
MAFbin1	6.1034e-02	7.2580e-02	2.8700e-02	1.1892e+00	4.7024e-01	6.9160e-01
MAFbin2	5.9542e-02	4.0968e-02	4.6806e-02	6.8805e-01	7.8610e-01	6.8975e-01
MAFbin3	5.9394e-02	6.6210e-02	4.9162e-02	1.1148e+00	8.2773e-01	8.8629e-01
MAFbin4	6.0043e-02	5.4317e-02	5.8736e-02	9.0464e-01	9.7823e-01	9.2060e-01
MAFbin5	5.8625e-02	1.6160e-01	6.4966e-02	2.7564e+00	1.1082e+00	7.5966e-02
MAFbin6	5.9415e-02	-6.0767e-03	4.1243e-02	-1.0228e-01	6.9415e-01	6.6705e-02
MAFbin7	5.9469e-02	3.9999e-02	2.5161e-02	6.7259e-01	4.2310e-01	4.4846e-01
MAFbin8	5.9765e-02	1.9705e-02	7.1878e-02	3.2971e-01	1.2027e+00	5.8318e-01
MAFbin9	6.0284e-02	5.6995e-02	5.2195e-02	9.4544e-01	8.6581e-01	9.4962e-01
MAFbin10	5.8711e-02	1.9323e-01	1.0794e-01	3.2911e+00	1.8385e+00	2.1092e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-6.3904e-01	2.0716e-01	-3.1591e+05	1.0241e+05	1.8231e-02
MAF_Adj_LLD_AFR	1.6675e-03	-4.0941e-01	1.6950e-01	-2.4552e+02	1.0165e+02	1.5472e-02
Recomb_Rate_10kb	1.5151e+00	1.6494e+00	5.6366e-01	1.0886e+00	3.7202e-01	8.0641e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.7973e+00	2.2467e-01	8.5339e-01	5.0493e-02	1.4059e-02
Backgrd_Selection_Stat	1.8503e-01	2.5072e-01	3.6961e-02	1.3550e+00	1.9975e-01	1.0425e-01
CpG_Content_50kb	1.0097e-02	1.1890e-02	7.4281e-04	1.1775e+00	7.3567e-02	1.5122e-02

---

File: GIIBS_enrichment.results
Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
020222_ATAC_Stim_TNFa	6.3614e-03	-1.6511e-01	7.1094e-01	-2.5956e+01	1.1176e+02	7.7792e-01
020222_ATAC_Stim_UT	6.4117e-03	-7.2451e-01	1.4046e+00	-1.1300e+02	2.1907e+02	1.6485e-01
ASoC_TNFa_11samp_WGS	5.5855e-04	-1.9063e-01	4.6963e-01	-3.4129e+02	8.4080e+02	5.4193e-01
ASoC_UT_11samp_WGS	4.8543e-04	6.4015e-02	1.6593e-01	1.3187e+02	3.4183e+02	6.3875e-01
MAFbin1	6.1034e-02	-2.6939e-01	7.4605e-01	-4.4139e+00	1.2224e+01	4.6105e-01
MAFbin2	5.9542e-02	-5.5626e-02	6.3924e-01	-9.3423e-01	1.0736e+01	8.4431e-01
MAFbin3	5.9394e-02	1.0246e+00	1.6246e+00	1.7252e+01	2.7353e+01	8.7653e-03
MAFbin4	6.0043e-02	-2.6923e-01	8.4396e-01	-4.4839e+00	1.4056e+01	6.2238e-01
MAFbin5	5.8625e-02	-1.1568e+00	2.0120e+00	-1.9733e+01	3.4320e+01	6.8035e-02
MAFbin6	5.9415e-02	8.6107e-01	1.2942e+00	1.4493e+01	2.1782e+01	1.2745e-01
MAFbin7	5.9469e-02	-1.1376e+00	2.0386e+00	-1.9129e+01	3.4280e+01	3.2826e-02
MAFbin8	5.9765e-02	3.8193e-02	6.5564e-01	6.3905e-01	1.0970e+01	9.7219e-01
MAFbin9	6.0284e-02	4.3939e-01	9.2886e-01	7.2887e+00	1.5408e+01	5.4340e-01
MAFbin10	5.8711e-02	-2.3600e-01	7.4672e-01	-4.0197e+00	1.2719e+01	5.9446e-01
MAF_Adj_Predicted_Allele_Age	2.0228e-06	-1.9999e+00	3.4896e+00	-9.8864e+05	1.7251e+06	4.3440e-01
MAF_Adj_LLD_AFR	1.6675e-03	-1.5078e+00	2.2431e+00	-9.0424e+02	1.3452e+03	2.8083e-01
Recomb_Rate_10kb	1.5151e+00	-2.7856e-01	8.9029e+00	-1.8385e-01	5.8760e+00	8.0090e-01
Nucleotide_Diversity_10kb	4.4496e+00	3.9657e+00	2.3741e+00	8.9124e-01	5.3355e-01	8.3164e-01
